Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel
Callimico_goeldii	Arctocebus_calabarensis	1.06830214382	0.679472229481	121.4130573113	0.322373320950203	0.999999999930815	0.315783069452321	0.737983285931679	0.237906122707998	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Trachypithecus_francoisi	Perodicticus_potto	0.752395684565	1.14115781388	121.4130573142	0.322317121356263	0.9999999999547	0.315730987022487	0.737900104241819	0.237837837458484	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Microcebus_murinus	Nycticebus_pygmaeus	1.29746759826	0.952486683141	99.360634016	0.286018742823351	0.818368602269586	0.310024748090788	0.680338252982915	0.237777318525115	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Alouatta_seniculus	Cercopithecus_ascanius	0.746153967855	1.0465435524	78.0653383561	0.249048708387688	0.64297317009769	0.304830740100429	0.613823179296	0.237757774494489	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontopithecus_rosalia	Eulemur_coronatus	1.44017340539	1.05156593096	121.4130573068	0.322188899202977	0.999999999893751	0.315612152778788	0.737710252810761	0.237682054309103	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Theropithecus_gelada	Pongo_abelii	0.887461637116	1.15198860256	62.151576036	0.219315523796644	0.511901910783327	0.301043764647335	0.554753278349213	0.237674451405908	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_nigricollis	Trachypithecus_pileatus	0.972058707442	0.67173356493	78.0653383524	0.248995280419775	0.642973170067215	0.304768623321179	0.613721273726223	0.23766730520819	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_nigricollis	Alouatta_seniculus	0.972058707442	0.746153967855	46.5475501527	0.187294388711974	0.383381748061354	0.297263003354438	0.486365359729606	0.237605215172261	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Ateles_geoffroyi	Cercopithecus_ascanius	1.34677002605	1.0465435524	78.0653383527	0.248913475477449	0.642973170069686	0.304673510740283	0.613565211667881	0.237528805831441	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Allochrocebus_lhoesti	Colobus_polykomos	0.731449274681	0.935484496328	38.5936741533	0.169162684164799	0.317870869948334	0.294969926546905	0.446183155593076	0.237447175456855	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Nasalis_larvatus	Hapalemur_griseus	0.624429504347	1.01260734095	121.4130573148	0.321832692625273	0.999999999959642	0.31528198517687	0.737182339079056	0.237249377151184	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Semnopithecus_vetulus	Nasalis_larvatus	0.756243526773	0.624429504347	17.711114321	0.10928512079507	0.145874873032509	0.281897604629133	0.316471081349491	0.237090731490939	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cebuella_pygmaea	Hylobates_agilis	1.16317057726	1.46292214143	78.0653383547	0.248519734819715	0.642973170086159	0.304215651174525	0.612813521029689	0.236862533035129	11.8833270502149	-28.8301865462559	40.7135135964709	OU
