Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
PLA	Pitheciidae	Plecturocebus	Plecturocebus_caligatus	3		6.779921907	1.0		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_caquetensis	0					
PLA	Pitheciidae	Plecturocebus	Plecturocebus_cinerascens	6			0.74		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_cupreus	7	26.4	6.975413927	1.07	1.0918075978460042	EXPECTED
PLA	Pitheciidae	Plecturocebus	Plecturocebus_discolor	0			1.01		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_hoffmansi	0			1.06		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_miltoni	9			1.34		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_modestus	0			0.8		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_oenanthe	1			0.8		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_olallae	0			0.8		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_ornatus	0			1.17		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_pallescens	0			0.8		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_stephennashi	0			0.67		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_toppini	5					
PLA	Pitheciidae	Plecturocebus	Plecturocebus_urubambensis	0					
PLA	Pitheciidae	Plecturocebus	Plecturocebus_vieirai	0			0.96		
APE	Hominidae	Pongo	Pongo_tapanuliensis	1					
OWM	Cercopithecidae	Presbytis	Presbytis_bicolor	0			6.43		
OWM	Cercopithecidae	Presbytis	Presbytis_canicrus	0			6.125		
OWM	Cercopithecidae	Presbytis	Presbytis_chrysomelas	0		8.812694613	7.05		
OWM	Cercopithecidae	Presbytis	Presbytis_comata	1		8.809116258	6.7		
OWM	Cercopithecidae	Presbytis	Presbytis_femoralis	0		8.831711918	6.22		
OWM	Cercopithecidae	Presbytis	Presbytis_frontata	0		8.633196867	5.61		
OWM	Cercopithecidae	Presbytis	Presbytis_hosei	0			5.9		
OWM	Cercopithecidae	Presbytis	Presbytis_mitrata	1			5.8		
OWM	Cercopithecidae	Presbytis	Presbytis_natunae	0			7.05		
OWM	Cercopithecidae	Presbytis	Presbytis_potenziani	0			6.27		
OWM	Cercopithecidae	Presbytis	Presbytis_rubicunda	0		8.742893472	6.13		
OWM	Cercopithecidae	Presbytis	Presbytis_sabana	0			5.9		
OWM	Cercopithecidae	Presbytis	Presbytis_siamensis	0			7.65		
OWM	Cercopithecidae	Presbytis	Presbytis_siberu	0			6.45		
OWM	Cercopithecidae	Presbytis	Presbytis_sumatrana	0			6.42		
OWM	Cercopithecidae	Presbytis	Presbytis_thomasi	0		8.814330423	6.73		
OWM	Cercopithecidae	Procolobus	Procolobus_verus	0		8.400659375	4.45		
STR	Indriidae	Propithecus	Propithecus_candidus	0			5.685		
STR	Indriidae	Propithecus	Propithecus_coronatus	1			3.9		
STR	Indriidae	Propithecus	Propithecus_deckenii	0		8.169619562	2.78		
STR	Indriidae	Propithecus	Propithecus_perrieri	2			4.41		
OWM	Cercopithecidae	Pygathrix	Pygathrix_cinerea	5			9.98		
OWM	Cercopithecidae	Pygathrix	Pygathrix_nigripes	4			9.88		
OWM	Cercopithecidae	Rhinopithecus	Rhinopithecus_strykeri	0			11.25		
PLA	Callitrichidae	Saguinus	Saguinus_bicolor	1	19.0		0.43	0.933520333916391	EXPECTED
PLA	Callitrichidae	Saguinus	Saguinus_inustus	4			0.69		
PLA	Callitrichidae	Saguinus	Saguinus_labiatus	20	20.5	6.253828812	0.51	0.9752564182058844	EXPECTED
PLA	Callitrichidae	Saguinus	Saguinus_leucopus	0	15.2	6.263398263	0.49	0.7286051693102458	LOW
PLA	Callitrichidae	Saguinus	Saguinus_martinsi	5			0.5		
PLA	Callitrichidae	Saguinus	Saguinus_mystax	11	20.0	6.369900983	0.53	0.9445774548623737	EXPECTED
PLA	Callitrichidae	Saguinus	Saguinus_niger	0		5.926926026	0.42		
PLA	Callitrichidae	Saguinus	Saguinus_ursulus	0					
PLA	Cebidae	Saimiri	Saimiri_cassiquiarensis	11			0.88		
PLA	Cebidae	Saimiri	Saimiri_collinsi	0					
PLA	Cebidae	Saimiri	Saimiri_macrodon	18			0.99		
PLA	Cebidae	Saimiri	Saimiri_ustus	15			0.86		
PLA	Cebidae	Saimiri	Saimiri_vanzolinii	0			0.8		
PLA	Cebidae	Sapajus	Sapajus_cay	0			3.25		
PLA	Cebidae	Sapajus	Sapajus_flavius	0			2.35		
PLA	Cebidae	Sapajus	Sapajus_libidinosus	0			2.54		
PLA	Cebidae	Sapajus	Sapajus_macrocephalus	35			3.05		
PLA	Cebidae	Sapajus	Sapajus_nigritus	0		7.912423121	3.7		
PLA	Cebidae	Sapajus	Sapajus_robustus	0			3.05		
PLA	Cebidae	Sapajus	Sapajus_xanthosternos	0		7.799753318	2.875		
STR	Galagidae	Sciurocheirus	Sciurocheirus_cameronensis	0			0.27		
STR	Galagidae	Sciurocheirus	Sciurocheirus_gabonensis	0			0.26		
STR	Galagidae	Sciurocheirus	Sciurocheirus_makandensis	0					
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_ajax	0			20.15		
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_hector	0			15.3		
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_hypoleucos	4			13.1		
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_priam	1					
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_schistaceus	2			17.0		
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_vetulus	3	26.1	8.738254577	7.03	0.7562435267733602	LOW
OWM	Cercopithecidae	Simias	Simias_concolor	0		8.984066928	7.97		
TAR	Tarsiidae	Tarsius	Tarsius_dentatus	1			0.112		
TAR	Tarsiidae	Tarsius	Tarsius_fuscus	0			0.12		
TAR	Tarsiidae	Tarsius	Tarsius_lariang	1			0.11		
TAR	Tarsiidae	Tarsius	Tarsius_pelengensis	0			0.16		
TAR	Tarsiidae	Tarsius	Tarsius_pumilus	0			0.051		
TAR	Tarsiidae	Tarsius	Tarsius_sangirensis	0			0.143		
TAR	Tarsiidae	Tarsius	Tarsius_spectrumgurskyae	0					
TAR	Tarsiidae	Tarsius	Tarsius_supriatnai	0					
TAR	Tarsiidae	Tarsius	Tarsius_tarsier	0	16.0		0.122	0.9974558780501203	EXPECTED
TAR	Tarsiidae	Tarsius	Tarsius_tumpara	0			0.1		
TAR	Tarsiidae	Tarsius	Tarsius_wallacei	1			0.107		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_barbei	0			6.4		
